Pairwise stats
gst = Nei & Chesser, (1983)
Gst = Hedrick, (2005)
GGst = Meirmans & Hedrick, (2011)
D = Jost, (2008)
Fst = Weir & Cockerham's theta, (1984)

gst

pops	Site1_1,	Site2_1,	Site3_1,	Site4_1,	Site5_1,	Site6_1,	Site7_1,	Site8_1,	Site9_1,	Site10_1,
Site1_1,	 									
Site2_1,	 0.2139									
Site3_1,	 0.2113	0.0336								
Site4_1,	 0.1732	0.1484	0.1267							
Site5_1,	 0.1885	0.1622	0.1844	0.2602						
Site6_1,	 0.3799	0.1855	0.1235	0.282	0.3193					
Site7_1,	 0.4109	0.2027	0.157	0.2678	0.3689	0.0696				
Site8_1,	 0.2445	0.0543	0.0483	0.0887	0.2059	0.1509	0.1008			
Site9_1,	 0.4802	0.3224	0.2728	0.3707	0.4398	0.2372	0.2186	0.2573		
Site10_1,	 0.4978	0.2595	0.2162	0.3732	0.403	0.2148	0.1808	0.1963	0.1212	

Gst

pops	Site1_1,	Site2_1,	Site3_1,	Site4_1,	Site5_1,	Site6_1,	Site7_1,	Site8_1,	Site9_1,	Site10_1,
Site1_1,	 									
Site2_1,	 0.5304									
Site3_1,	 0.5688	0.1227								
Site4_1,	 0.3742	0.4214	0.3926							
Site5_1,	 0.3783	0.4242	0.5246	0.5912						
Site6_1,	 0.8176	0.5245	0.3811	0.6894	0.7226					
Site7_1,	 0.8603	0.5556	0.4692	0.636	0.8117	0.1646				
Site8_1,	 0.6302	0.1886	0.185	0.2625	0.5603	0.4445	0.2878			
Site9_1,	 0.8875	0.77	0.7061	0.773	0.8525	0.4926	0.4419	0.6385		
Site10_1,	 0.9319	0.6285	0.5679	0.7886	0.7915	0.4522	0.3703	0.4941	0.2194	

GGst

pops	Site1_1,	Site2_1,	Site3_1,	Site4_1,	Site5_1,	Site6_1,	Site7_1,	Site8_1,	Site9_1,	Site10_1,
Site1_1,	 									
Site2_1,	 0.6132									
Site3_1,	 0.644	0.1512								
Site4_1,	 0.4666	0.4962	0.4609							
Site5_1,	 0.4769	0.5045	0.5986	0.6756						
Site6_1,	 0.8678	0.5989	0.4491	0.7577	0.7897					
Site7_1,	 0.901	0.6305	0.5412	0.7129	0.8625	0.2189				
Site8_1,	 0.7029	0.2304	0.2226	0.3226	0.6354	0.5173	0.353			
Site9_1,	 0.924	0.826	0.7691	0.8344	0.8976	0.5899	0.542	0.7125		
Site10_1,	 0.9545	0.705	0.6447	0.846	0.8514	0.5491	0.4667	0.5772	0.3038	

D

pops	Site1_1,	Site2_1,	Site3_1,	Site4_1,	Site5_1,	Site6_1,	Site7_1,	Site8_1,	Site9_1,	Site10_1,
Site1_1,	 									
Site2_1,	 0.3571									
Site3_1,	 0.4193	0.0379								
Site4_1,	 0.0763	0.2236	0.1852							
Site5_1,	 0.1634	0.1844	0.2202	0.3893						
Site6_1,	 0.5972	0.2089	0.0752	0.2712	0.3676					
Site7_1,	 0.5514	0.2498	0.2317	0.2134	0.581	0.0505				
Site8_1,	 0.2839	0.0699	0.0885	0.1733	0.28	0.251	0.0491			
Site9_1,	 0.6155	0.5504	0.5421	0.494	0.6324	0.2167	0.1491	0.4264		
Site10_1,	 0.7125	0.3578	0.3374	0.5302	0.4615	0.2272	0.1702	0.3264	0.0629	

Fst

pops	Site1_1,	Site2_1,	Site3_1,	Site4_1,	Site5_1,	Site6_1,	Site7_1,	Site8_1,	Site9_1,	Site10_1,
Site1_1,	 									
Site2_1,	 0.3486									
Site3_1,	 0.3442	0.0604								
Site4_1,	 0.29	0.255	0.2203							
Site5_1,	 0.3128	0.2765	0.3079	0.4102						
Site6_1,	 0.5478	0.3103	0.2159	0.4372	0.4821					
Site7_1,	 0.58	0.3348	0.2681	0.42	0.5375	0.1272				
Site8_1,	 0.3889	0.0991	0.0872	0.1585	0.3386	0.2588	0.1799			
Site9_1,	 0.6468	0.4861	0.4261	0.5391	0.6099	0.3816	0.3575	0.4071		
Site10_1,	 0.6619	0.4092	0.3515	0.5407	0.5724	0.3504	0.3031	0.3245	0.2131	

