Site1_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	3	2	3	1	1	10	
%	75	50	100	50	25	60	
Ar	2.89	2	2.64	1	1	1.91	
Ho	0.4	0.2	0.24	0	0	0.17	
He	0.55	0.47	0.51	0	0	0.31	
HWE	0.041	0.003	0.003	NA	NA	0.001	
Fis	0.2785	0.5756	0.529	NA	NA	0.4528	
Fis_Low	-0.0922	0.1786	0.2038	NA	NA	0.226	
Fis_High	0.6286	0.9167	0.8488	NA	NA	0.6618	
														
Site2_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	3	3	2	2	2	12	
%	75	75	66.67	100	50	73.33	
Ar	3	3	2	2	2	2.4	
Ho	0.28	0.56	0.52	0.36	0.48	0.44	
He	0.61	0.61	0.49	0.45	0.48	0.53	
HWE	0.001	0.826	0.682	0.366	1	0.079	
Fis	0.5389	0.0802	-0.0673	0.1979	0	0.1641	
Fis_Low	0.2239	-0.1926	-0.4413	-0.2098	-0.372	0.0252	
Fis_High	0.8158	0.3802	0.2952	0.5973	0.4216	0.3152	
														
Site3_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	4	4	3	2	3	16	
%	100	100	100	100	75	95	
Ar	4	3.99	3	2	3	3.2	
Ho	0.56	0.44	0.32	0.36	0.48	0.43	
He	0.68	0.65	0.52	0.45	0.66	0.59	
HWE	0.143	0.34	0.011	0.368	0.213	0.028	
Fis	0.1755	0.3201	0.3902	0.1979	0.2674	0.2691	
Fis_Low	-0.0856	0.0639	0.0049	-0.1957	-0.0718	0.1043	
Fis_High	0.4467	0.5842	0.7333	0.5994	0.5811	0.4376	
														
Site4_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	3	2	2	1	3	11	
%	75	50	66.67	50	75	63.33	
Ar	2.85	2	2	1	3	2.17	
Ho	0.4	0.48	0.2	0	0.44	0.3	
He	0.55	0.48	0.49	0	0.54	0.41	
HWE	0.043	1	0.002	NA	0.218	0.019	
Fis	0.2785	0	0.5895	NA	0.1876	0.2633	
Fis_Low	-0.1033	-0.3697	0.2174	NA	-0.1832	0.0424	
Fis_High	0.6299	0.4021	0.9158	NA	0.5285	0.4709	
														
Site5_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	3	2	1	2	2	10	
%	75	50	33.33	100	50	61.67	
Ar	3	2	1	2	1.99	2	
Ho	0.68	0.48	0	0.24	0.08	0.3	
He	0.58	0.48	0	0.48	0.21	0.35	
HWE	0.681	1	NA	0.033	0.029	0.146	
Fis	-0.1822	0	NA	0.5	0.6212	0.1525	
Fis_Low	-0.4029	-0.3793	NA	0.1346	-0.0153	-0.0366	
Fis_High	0.0637	0.3925	NA	0.8364	1.0485	0.3547	
														
Site6_1,	z1	z2	z3	z4	z5	Overall	
N	25	25	25	25	25	25	
A	3	2	2	1	3	11	
%	75	50	66.67	50	75	63.33	
Ar	2.99	2	2	1	3	2.2	
