
Site1_1
stat	z1	z2	z3	z4	z5	overall
ar	3	2	3	1	1	2
size	25	25	25	25	25	25
obs_het	0.4	0.2	0.24	0	0	0.168
exp_het	0.5544	0.4712	0.5096	0	0	0.307
uexp_het	0.566	0.481	0.52	0	0	0.313
fis	0.278499278499278	0.575551782682513	0.529042386185243	NaN	NaN	0.461
hwe_glb	0.0697499694427572	0.00758394331969352	0.0119870453254267	NA	NA	0.008
hwe_hom	NA	NA	NA	NA	NA	1
hwe_het	0.0109095430194951	0.0045302178151166	0.00331840518340181	NA	NA	0.001

Site2_1
stat	z1	z2	z3	z4	z5	overall
ar	3	3	2	2	2	2.4
size	25	25	25	25	25	25
obs_het	0.28	0.56	0.52	0.36	0.48	0.44
exp_het	0.6072	0.6088	0.4872	0.4488	0.48	0.526
uexp_het	0.62	0.621	0.497	0.458	0.49	0.537
fis	0.538866930171278	0.0801576872536136	-0.0673234811165844	0.197860962566845	0	0.15
hwe_glb	0.00539169021611822	0.680632906047614	0.999999999999988	0.377039997066312	0.676849964876044	0.175
hwe_hom	NA	NA	0.57173929862859	NA	0.622150722445773	0.996
hwe_het	0.000175407461453155	0.397333026875353	NA	0.253873068381707	NA	0.016

Site3_1
stat	z1	z2	z3	z4	z5	overall
ar	4	4	3	2	3	3.2
size	25	25	25	25	25	25
obs_het	0.56	0.44	0.32	0.36	0.48	0.432
exp_het	0.6792	0.6472	0.5248	0.4488	0.6552	0.591
uexp_het	0.693	0.66	0.536	0.458	0.669	0.603
fis	0.175500588928151	0.320148331273177	0.390243902439024	0.197860962566845	0.267399267399267	0.27
hwe_glb	0.0558653276212353	0.0963963053391467	0.0057972439068492	0.377039997066312	0.160869064100481	0.003
hwe_hom	NA	NA	NA	NA	NA	1
hwe_het	0.122199753896287	0.129696241358581	0.00230980618617748	0.253873068381707	0.0175633012575042	0.001

Site4_1
stat	z1	z2	z3	z4	z5	overall
ar	3	2	2	1	3	2.2
size	25	25	25	25	25	25
obs_het	0.4	0.48	0.2	0	0.44	0.304
exp_het	0.5544	0.48	0.4872	0	0.5416	0.413
uexp_het	0.566	0.49	0.497	0	0.553	0.421
fis	0.278499278499278	0	0.589490968801314	NaN	0.187592319054653	0.264
hwe_glb	0.0697499694427572	0.676849964876044	0.00371243428076652	NA	0.166952657214319	0.022
hwe_hom	NA	0.622150722445773	NA	NA	NA	1
hwe_het	0.0109095430194951	NA	0.00331840518340176	NA	0.0375378432003386	0.003

Site5_1
stat	z1	z2	z3	z4	z5	overall
ar	3	2	1	2	2	2
size	25	25	25	25	25	25
obs_het	0.68	0.48	0	0.24	0.08	0.296
exp_het	0.5752	0.48	0	0.48	0.2112	0.349
uexp_het	0.587	0.49	0	0.49	0.216	0.357
fis	-0.182197496522948	0	NaN	0.5	0.621212121212121	0.235
hwe_glb	0.41381465356573	0.676849964876044	NA	0.0329113756540411	0.0192502532928068	0.069
hwe_hom	0.192103257433087	0.622150722445773	NA	NA	NA	0.935
hwe_het	NA	NA	NA	0.0130129062371204	0.0192502532928068	0.084

Site6_1
stat	z1	z2	z3	z4	z5	overall
ar	3	2	2	1	3	2.2
size	25	25	25	25	25	25
obs_het	0.32	0.48	0.4	0	0.48	0.336
exp_het	0.5912	0.48	0.32	0	0.6552	0.409
uexp_het	0.603	0.49	0.327	0	0.669	0.418
fis	0.45872801082544	0	-0.250000000000001	NaN	0.267399267399267	0.119
hwe_glb	0.017883836202821	0.676849964876044	0.35309415399136	NA	0.160869064100481	0.149
hwe_hom	NA	0.622150722445773	0.325848870582139	NA	NA	0.977
hwe_het	0.000757923138539644	NA	NA	NA	0.0175633012575042	0.013

Site7_1
stat	z1	z2	z3	z4	z5	overall
ar	4	2	2	1	3	2.4
size	25	25	25	25	25	25
obs_het	0.36	0.4	0.4	0	0.56	0.344
exp_het	0.6048	0.4352	0.32	0	0.5696	0.386
uexp_het	0.617	0.444	0.327	0	0.581	0.394
fis	0.404761904761905	0.0808823529411763	-0.250000000000001	NaN	0.0168539325842696	0.063
hwe_glb	0.000238987963267756	0.99999999999999	0.35309415399136	NA	0.999999999999998	0.043
hwe_hom	NA	NA	0.325848870582139	NA	0.597852099307353	0.974
hwe_het	0.0841729711182716	0.472214441958948	NA	NA	NA	0.776

Site8_1
stat	z1	z2	z3	z4	z5	overall
ar	4	2	3	2	3	2.8
size	25	25	25	25	25	25
obs_het	0.36	0.4	0.56	0.44	0.4	0.432
exp_het	0.6048	0.4352	0.6488	0.4872	0.6104	0.557
uexp_het	0.617	0.444	0.662	0.497	0.623	0.569
fis	0.404761904761905	0.0808823529411763	0.136868064118372	0.0968801313628901	0.344692005242464	0.213
hwe_glb	0.000238987963267756	0.99999999999999	0.548130399652152	0.686793042879851	0.0735960376052296	0.008
hwe_hom	NA	NA	NA	NA	NA	1
hwe_het	0.0841729711182716	0.472214441958948	0.113975770957667	0.428260701371399	0.0257196189679679	0.031

Site9_1
stat	z1	z2	z3	z4	z5	overall
ar	2	2	2	1	2	1.8
size	25	25	25	25	25	25
obs_het	0.2	0.32	0.4	0	0.4	0.264
exp_het	0.18	0.48	0.32	0	0.4032	0.277
uexp_het	0.184	0.49	0.327	0	0.411	0.282
fis	-0.111111111111112	0.333333333333333	-0.250000000000001	NaN	0.00793650793650791	-0.005
hwe_glb	1.00000000000003	0.207891793024732	0.35309415399136	NA	1.00000000000002	0.876
hwe_hom	0.802431610942273	NA	0.325848870582139	NA	NA	0.988
hwe_het	NA	0.0857216641400105	NA	NA	0.626872914909521	0.828

Site10_1
stat	z1	z2	z3	z4	z5	overall
ar	2	1	2	1	2	1.6
size	25	25	25	25	25	25
obs_het	0.32	0	0.36	0	0.32	0.2
exp_het	0.4928	0	0.4872	0	0.4608	0.288
uexp_het	0.503	0	0.497	0	0.47	0.294
fis	0.350649350649351	NaN	0.261083743842365	NaN	0.305555555555555	0.306
hwe_glb	0.104077242142546	NA	0.224439915702506	NA	0.187000115218973	0.368
hwe_hom	NA	NA	NA	NA	NA	1
hwe_het	0.0710127659895408	NA	0.156814671867279	NA	0.113274456608473	0.205
